DATA LOG,04376,1,-53,4/5/2016 2:56:30 PM
DATA LOG,10010,2,-59,4/5/2016 2:56:33 PM
DATA LOG,04376,1,-52,4/5/2016 2:56:37 PM
DATA LOG,10010,2,-59,4/5/2016 2:56:41 PM
DATA LOG,04376,2,-57,4/5/2016 2:56:45 PM
DATA LOG,10010,2,-59,4/5/2016 2:56:49 PM
DATA LOG,04376,2,-57,4/5/2016 2:56:53 PM
DATA LOG,10010,2,-59,4/5/2016 2:56:59 PM
DATA LOG,04376,2,-57,4/5/2016 2:57:01 PM
DATA LOG,10010,2,-59,4/5/2016 2:57:04 PM
DATA LOG,04376,1,-52,4/5/2016 2:57:08 PM
DATA LOG,10010,2,-59,4/5/2016 2:57:11 PM
DATA LOG,04376,1,-53,4/5/2016 2:57:16 PM
DATA LOG,10010,1,-54,4/5/2016 2:57:21 PM
DATA LOG,04376,1,-52,4/5/2016 2:57:24 PM
DATA LOG,10010,2,-59,4/5/2016 2:57:28 PM
DATA LOG,04376,1,-52,4/5/2016 2:57:31 PM
DATA LOG,10010,1,-54,4/5/2016 2:57:34 PM
DATA LOG,04376,1,-52,4/5/2016 2:57:38 PM
DATA LOG,10010,1,-54,4/5/2016 2:57:41 PM
DATA LOG,04376,2,-57,4/5/2016 2:57:44 PM
DATA LOG,10010,1,-54,4/5/2016 2:57:47 PM
DATA LOG,04376,2,-57,4/5/2016 2:57:53 PM
DATA LOG,10010,1,-54,4/5/2016 2:57:58 PM
DATA LOG,04376,2,-57,4/5/2016 2:58:03 PM
DATA LOG,10010,2,-59,4/5/2016 2:58:07 PM
DATA LOG,04376,1,-52,4/5/2016 2:58:11 PM
DATA LOG,10010,1,-55,4/5/2016 2:58:17 PM
DATA LOG,04376,1,-52,4/5/2016 2:58:24 PM
DATA LOG,10010,1,-54,4/5/2016 2:58:56 PM
DATA LOG,04376,1,-52,4/5/2016 2:58:59 PM
DATA LOG,10010,1,-54,4/5/2016 2:59:02 PM
DATA LOG,04376,2,-57,4/5/2016 2:59:13 PM
DATA LOG,10010,1,-54,4/5/2016 2:59:16 PM
DATA LOG,04376,1,-52,4/5/2016 2:59:25 PM
DATA LOG,10010,2,-59,4/5/2016 2:59:30 PM
DATA LOG,04376,2,-57,4/5/2016 2:59:34 PM
DATA LOG,10010,1,-55,4/5/2016 2:59:40 PM
DATA LOG,04376,2,-57,4/5/2016 2:59:43 PM
DATA LOG,10010,2,-59,4/5/2016 2:59:47 PM
DATA LOG,04376,2,-57,4/5/2016 2:59:51 PM
DATA LOG,10010,2,-58,4/5/2016 2:59:56 PM
DATA LOG,04376,1,-53,4/5/2016 3:00:01 PM
DATA LOG,10010,1,-54,4/5/2016 3:00:09 PM
DATA LOG,04376,2,-57,4/5/2016 3:00:14 PM
DATA LOG,10010,2,-58,4/5/2016 3:00:20 PM
DATA LOG,04376,2,-57,4/5/2016 3:00:25 PM
DATA LOG,10010,1,-55,4/5/2016 3:00:40 PM
DATA LOG,04376,1,-52,4/5/2016 3:00:43 PM
DATA LOG,10010,1,-54,4/5/2016 3:00:48 PM
DATA LOG,04376,2,-57,4/5/2016 3:00:52 PM
DATA LOG,10010,1,-55,4/5/2016 3:00:56 PM
DATA LOG,04376,1,-52,4/5/2016 3:01:00 PM
DATA LOG,10010,2,-59,4/5/2016 3:01:05 PM
DATA LOG,04376,1,-52,4/5/2016 3:01:08 PM
DATA LOG,10010,1,-55,4/5/2016 3:01:11 PM
DATA LOG,04376,2,-57,4/5/2016 3:01:16 PM
DATA LOG,10010,1,-54,4/5/2016 3:01:21 PM
DATA LOG,04376,2,-57,4/5/2016 3:01:25 PM
DATA LOG,10010,1,-55,4/5/2016 3:01:29 PM
DATA LOG,04376,2,-57,4/5/2016 3:01:34 PM
DATA LOG,10010,2,-58,4/5/2016 3:01:37 PM
DATA LOG,04376,1,-53,4/5/2016 3:01:42 PM
DATA LOG,10010,2,-59,4/5/2016 3:01:46 PM
DATA LOG,04376,2,-57,4/5/2016 3:01:50 PM
DATA LOG,10010,2,-59,4/5/2016 3:01:53 PM
DATA LOG,04376,2,-57,4/5/2016 3:01:56 PM
DATA LOG,10010,2,-58,4/5/2016 3:02:00 PM
DATA LOG,04376,1,-52,4/5/2016 3:02:04 PM
DATA LOG,10010,1,-54,4/5/2016 3:02:13 PM
DATA LOG,04376,1,-52,4/5/2016 3:02:16 PM
DATA LOG,10010,2,-59,4/5/2016 3:02:19 PM
DATA LOG,04376,2,-57,4/5/2016 3:02:22 PM
DATA LOG,10010,1,-55,4/5/2016 3:02:27 PM
DATA LOG,04376,1,-53,4/5/2016 3:02:30 PM
DATA LOG,10010,2,-58,4/5/2016 3:02:36 PM
DATA LOG,04376,2,-57,4/5/2016 3:02:39 PM
DATA LOG,10010,2,-59,4/5/2016 3:02:43 PM
DATA LOG,04376,2,-57,4/5/2016 3:02:48 PM
DATA LOG,10010,1,-54,4/5/2016 3:02:52 PM
DATA LOG,04376,2,-57,4/5/2016 3:02:55 PM
